model,r2,rmse,mae,time_s
Lasso Regression,0.24661475,1.1159057199893037,0.9040485620498657,4.218799352645874
ElasticNet,0.28810358,1.0847442438026074,0.8699244260787964,5.155507564544678
Decision Tree,0.36852926711592393,1.0216345297174152,0.6887403071350428,0.9151933193206787
Bayesian Ridge,0.3626929,1.0263448870674383,0.8095153570175171,0.7311854362487793
PLS Regression,0.32612387668063336,1.0553803016935694,0.8315560726647923,0.578803539276123
Ridge Regression,0.33600324,1.0476155295199405,0.8067410588264465,0.14212536811828613
Gradient Boosting,0.5180955583477871,0.8924818938200858,0.7023589564077679,14.971662282943726
XGBoost,0.6362927,0.775344962594004,0.5433366894721985,16.771825075149536
SVR (RBF),0.35155785,1.0352722678757058,0.8009490966796875,0.3112456798553467
k-Nearest Neighbors,0.50285816,0.9064818776208138,0.6835124492645264,0.04851961135864258
MLP Regressor,0.45091087,0.9526653744969326,0.7157018780708313,10.65389633178711
AdaBoost,0.3337790059871282,1.0493687011135444,0.8776727124671247,22.961784839630127
Random Forest,0.64812255,0.7626314221924408,0.5661901235580444,77.28834414482117
