model,r2,rmse,mae,time_s
Lasso Regression,0.25892478,1.1067514156059344,0.8966636657714844,4.218799352645874
ElasticNet,0.30506814,1.0717415284448648,0.8588424921035767,5.155507564544678
Decision Tree,0.9842285387228701,0.1614562705466778,0.028796674609522687,0.9151933193206787
Bayesian Ridge,0.4201079,0.9790222318460974,0.7703272700309753,0.7311854362487793
PLS Regression,0.404573919916714,0.9920484345603581,0.781985442910867,0.578803539276123
Ridge Regression,0.45591885,0.9483110145552688,0.7389140725135803,0.14212536811828613
Gradient Boosting,0.6200230565980884,0.7924968998965864,0.6233058808521563,14.971662282943726
XGBoost,0.9840757,0.16223668074932615,0.038052037358284,16.771825075149536
SVR (RBF),0.3838355,1.0091768832100396,0.7710227370262146,0.3112456798553467
k-Nearest Neighbors,0.6931503,0.7121669492815479,0.5295450687408447,0.04851961135864258
MLP Regressor,0.7147364,0.6866606226635026,0.5023918151855469,10.65389633178711
AdaBoost,0.3688803023087268,1.0213505264295835,0.8614466069452026,22.961784839630127
Random Forest,0.9268445,0.3477303072456418,0.2546662986278534,77.28834414482117
SVR (Linear),0.4113779090838673,0.9882493424886829,0.7466776928869072,163.63396406173706
