model,r2,rmse,mae,time_s
Lasso Regression,0.23614776,1.1171544210165076,0.9102264642715454,4.528538703918457
ElasticNet,0.28141922,1.0835434575363427,0.8749985694885254,3.6092422008514404
Decision Tree,0.909228583952618,0.3851084838229683,0.15704194833887378,0.8682093620300293
Bayesian Ridge,0.39613223,0.9932977367003201,0.7885651588439941,0.6980960369110107
PLS Regression,0.3830995567103387,1.0039592188509248,0.7970298801634035,0.4537513256072998
Ridge Regression,0.43238723,0.9630184436945187,0.7614758610725403,0.1342933177947998
Gradient Boosting,0.6059875893135467,0.802349306540602,0.6345113084507464,14.748180627822876
XGBoost,0.90919244,0.38518509050761046,0.16056105494499207,15.815134286880493
SVR (RBF),0.3574438,1.0246229804208622,0.788156270980835,0.3582491874694824
k-Nearest Neighbors,0.67825985,0.7250386326461133,0.5370798707008362,0.04355597496032715
MLP Regressor,0.6803316,0.722700540371011,0.5418545603752136,13.138001203536987
AdaBoost,0.3579922842131922,1.0241855745689976,0.8538569771479138,4.51121187210083
Random Forest,0.87121344,0.4587159528493043,0.31145066022872925,76.5832667350769
