model,r2,rmse,mae,time_s
Lasso Regression,0.047902584,1.2589059661489932,1.0615451335906982,0.20973420143127441
ElasticNet,0.15383726,1.1868054215785984,0.9944007992744446,1.0235373973846436
Decision Tree,0.3961453318782586,1.0025794596704232,0.7068292428956267,0.8847482204437256
Bayesian Ridge,0.3606872,1.0315951723357797,0.8212296366691589,0.6123871803283691
PLS Regression,0.35188028345909383,1.0386762599477959,0.8253843898936102,0.37868642807006836
Ridge Regression,0.3534358,1.0374290419063183,0.8207061290740967,0.11004185676574707
Gradient Boosting,0.43715817457951256,0.9679340555117535,0.7602233060369967,8.626079797744751
XGBoost,0.5256842,0.8885592546470156,0.6412450671195984,14.4321448802948
SVR (RBF),0.4716813,0.9377791942668098,0.7105683088302612,0.3655245304107666
SVR (Linear),0.3323061,1.054244393409546,0.8208006024360657,3.177171468734741
k-Nearest Neighbors,0.43768293,0.9674827531760845,0.7309277653694153,0.0384821891784668
MLP Regressor,0.46371144,0.9448260166831246,0.7174046635627747,18.755709648132324
AdaBoost,0.28854733818767664,1.088242275266193,0.8988523887522657,2.5970778465270996
Random Forest,0.56551147,0.8504362445417489,0.6303164958953857,62.931395292282104
