model,r2,rmse,mae,time_s
Lasso Regression,0.051229417,1.2567045651462592,1.0597524642944336,0.20973420143127441
ElasticNet,0.16088247,1.181854430473058,0.9899980425834656,1.0235373973846436
Decision Tree,0.8428780921754817,0.5114120546350038,0.25844328372492364,0.8847482204437256
Bayesian Ridge,0.41332978,0.9882108037515919,0.7857924103736877,0.6123871803283691
PLS Regression,0.4096351133365107,0.9913176717921833,0.7868655572367996,0.37868642807006836
Ridge Regression,0.4273162,0.9763601474924042,0.7723270654678345,0.11004185676574707
Gradient Boosting,0.5130799245465459,0.9002879329530897,0.7049873827973268,8.626079797744751
XGBoost,0.8401503,0.5158322813529698,0.27789080142974854,14.4321448802948
SVR (RBF),0.57246643,0.8436021675301782,0.6030030846595764,0.3655245304107666
SVR (Linear),0.40367454,0.9963095038627217,0.7560651898384094,3.177171468734741
k-Nearest Neighbors,0.59176385,0.8243437035023111,0.6118731498718262,0.0384821891784668
MLP Regressor,0.70343757,0.7026040796647938,0.5007588267326355,18.755709648132324
AdaBoost,0.28768130940016234,1.0889044152509015,0.9075271422634748,2.5970778465270996
Random Forest,0.7967737,0.5816242920252059,0.4041358232498169,62.931395292282104
