model,r2,rmse,mae,time_s
Lasso Regression,0.054070055,1.2431914393189158,1.0381402969360352,0.28719067573547363
ElasticNet,0.12960678,1.1925216706424173,0.9960025548934937,0.5999205112457275
Decision Tree,0.3974282046295383,0.9922313181389676,0.709006966256878,0.7791829109191895
Bayesian Ridge,0.3311938,1.0453427046672832,0.8393339514732361,0.49857330322265625
PLS Regression,0.3196597220213243,1.0543180030362354,0.8449935168860716,0.3864626884460449
Ridge Regression,0.3220895,1.0524335725168343,0.8401436805725098,0.08770179748535156
Gradient Boosting,0.41119155447839195,0.9808340771530594,0.7741920264084827,7.579694747924805
XGBoost,0.49039626,0.9124830897606383,0.6701012849807739,14.436394214630127
SVR (RBF),0.433572,0.9620128910009924,0.7408514618873596,0.4154188632965088
SVR (Linear),0.29952437,1.0698060556921773,0.8426119685173035,2.5863988399505615
k-Nearest Neighbors,0.34735358,1.0326365772647006,0.7774723768234253,0.03914237022399902
MLP Regressor,0.42664176,0.9678801045687778,0.7405663132667542,15.437863826751709
AdaBoost,0.233371651316018,1.1191826480763272,0.9275877560358748,1.876744270324707
Random Forest,0.5240813,0.8818098129846892,0.6615320444107056,60.61298131942749
