model,r2,rmse,mae,time_s
Lasso Regression,0.058561802,1.2402362973656362,1.0362741947174072,0.28719067573547363
ElasticNet,0.13696408,1.1874708874797986,0.9919195771217346,0.5999205112457275
Decision Tree,0.7783885071496158,0.6017341651445537,0.3372265440415882,0.7791829109191895
Bayesian Ridge,0.38375467,1.0034260473367007,0.8039281368255615,0.49857330322265625
PLS Regression,0.3807714508462612,1.0058518437705315,0.8043725893859605,0.3864626884460449
Ridge Regression,0.40012258,0.9900104638230631,0.7881423830986023,0.08770179748535156
Gradient Boosting,0.4861484126791046,0.9162782591672943,0.7197353866361722,7.579694747924805
XGBoost,0.7766782,0.6040517160525629,0.3498648405075073,14.436394214630127
SVR (RBF),0.5399414,0.8669920692521109,0.6315955519676208,0.4154188632965088
SVR (Linear),0.3809229,1.0057288224021972,0.7733288407325745,2.5863988399505615
k-Nearest Neighbors,0.52021635,0.8853831714951562,0.6497212648391724,0.03914237022399902
MLP Regressor,0.6658844,0.7388510548753624,0.5282731652259827,15.437863826751709
AdaBoost,0.2714206083247004,1.0910558248405382,0.9101676443028827,1.876744270324707
Random Forest,0.74202824,0.6492241144245575,0.4511091709136963,60.61298131942749
