model,r2,rmse,mae,time_s
Lasso Regression,0.22780585,1.1175422372025867,0.9168381690979004,3.4255919456481934
ElasticNet,0.32329673,1.0461641431831417,0.8543450832366943,6.620571851730347
Decision Tree,0.3971455370233742,0.987431385453286,0.6492262140734131,15.283142805099487
Bayesian Ridge,0.5375789,0.8648076436708065,0.6656337380409241,6.131292104721069
PLS Regression,0.4957110671428553,0.9031094892199657,0.6990567808348024,1.9432387351989746
Ridge Regression,0.30710846,1.0586034908057667,0.7825965881347656,0.5623469352722168
Gradient Boosting,0.5485025312957656,0.8545320320467713,0.6619535083877156,68.82476592063904
XGBoost,0.6482304,0.7542752168490527,0.5137761831283569,26.441543579101562
SVR (RBF),0.5964775,0.807857085718594,0.5955705642700195,0.49756431579589844
SVR (Linear),0.22805262,1.117363655767605,0.8052121996879578,45.65482807159424
k-Nearest Neighbors,0.5321386,0.8698799332167606,0.6492956876754761,0.11906099319458008
MLP Regressor,0.5779738,0.8261718389272118,0.6135104298591614,22.2651047706604
AdaBoost,0.33551268808007273,1.0366783606803855,0.8728218314044504,255.40735816955566
Random Forest,0.6633597,0.7378766197381974,0.5435352921485901,301.5548822879791
