model,r2,rmse,mae,time_s
Lasso Regression,0.23204881,1.1144676980377146,0.9144384264945984,3.4255919456481934
ElasticNet,0.33813405,1.034631502553912,0.8448452949523926,6.620571851730347
Decision Tree,1.0,0.0,0.0,15.283142805099487
Bayesian Ridge,0.70463854,0.6911584226778772,0.533057451248169,6.131292104721069
PLS Regression,0.6659118244110473,0.7350743006294739,0.5706945713225826,1.9432387351989746
Ridge Regression,0.8030274,0.5644215241664403,0.43061089515686035,0.5623469352722168
Gradient Boosting,0.6705471449013647,0.729957079153134,0.565868426287073,68.82476592063904
XGBoost,0.9999586,0.008186107020684135,0.004572608973830938,26.441543579101562
SVR (RBF),0.7721844,0.6070052309486446,0.39430922269821167,0.49756431579589844
SVR (Linear),0.7557553,0.6285115774722552,0.391051322221756,45.65482807159424
k-Nearest Neighbors,0.71795887,0.675393561141172,0.4945787787437439,0.11906099319458008
MLP Regressor,0.88092303,0.43884851189311386,0.30535149574279785,22.2651047706604
AdaBoost,0.3946775824259343,0.9894504854169645,0.8435966223633539,255.40735816955566
Random Forest,0.9461389,0.2951468689469231,0.22224625945091248,301.5548822879791
