model,r2,rmse,mae,time_s
Lasso Regression,0.17497712,1.1610249051323251,0.9593554139137268,4.428920030593872
ElasticNet,0.27457798,1.0886891583021028,0.8934900164604187,6.059600114822388
Decision Tree,0.43822873652244365,0.958050254802181,0.6413894841929405,14.355687856674194
Bayesian Ridge,0.52697074,0.8791288644940841,0.6836809515953064,7.6063196659088135
PLS Regression,0.48331582922477523,0.9188002594114285,0.7151121752303224,1.5706636905670166
Ridge Regression,0.28681886,1.0794647296127962,0.7945281267166138,0.5306587219238281
Gradient Boosting,0.5260461719845104,0.8799875918538801,0.686543239259244,69.94547963142395
XGBoost,0.62338984,0.7844306667681594,0.5359760522842407,26.4414119720459
SVR (RBF),0.5808478,0.8275502927773065,0.6054261326789856,0.5412278175354004
SVR (Linear),0.14001566,1.185369638583931,0.8436625599861145,34.76784157752991
k-Nearest Neighbors,0.52087903,0.8847715196560502,0.6488457918167114,0.11896085739135742
MLP Regressor,0.56623477,0.8418522792205525,0.6183226704597473,29.042582988739014
AdaBoost,0.34456533539673395,1.0348400639444524,0.8586703533459316,45.61548399925232
Random Forest,0.65401614,0.7518590298523845,0.5523908138275146,306.795538187027
