model,r2,rmse,mae,time_s
Lasso Regression,0.18315977,1.1552529546835684,0.9555869102478027,4.428920030593872
ElasticNet,0.2913872,1.076001882540818,0.8836430907249451,6.059600114822388
Decision Tree,0.934343800984949,0.32752646602727437,0.11370357636814003,14.355687856674194
Bayesian Ridge,0.6747925,0.7289349369402064,0.5631715655326843,7.6063196659088135
PLS Regression,0.6245972751020191,0.7831721604989675,0.6073981616246408,1.5706636905670166
Ridge Regression,0.7745613,0.6069078631789406,0.4585909843444824,0.5306587219238281
Gradient Boosting,0.6387904487951004,0.7682244825646786,0.5977026450151257,69.94547963142395
XGBoost,0.9343243,0.3275750751749142,0.1163410171866417,26.4414119720459
SVR (RBF),0.7285327,0.6659894250096052,0.43414291739463806,0.5412278175354004
SVR (Linear),0.727962,0.6666890428682053,0.41777506470680237,34.76784157752991
k-Nearest Neighbors,0.6926789,0.708605788695367,0.5063641667366028,0.11896085739135742
MLP Regressor,0.8174677,0.5461078167196473,0.3805898427963257,29.042582988739014
AdaBoost,0.3979708021636099,0.9917844804970534,0.8308469664551772,45.61548399925232
Random Forest,0.89354825,0.41704692972605983,0.2807156443595886,306.795538187027
