model,r2,rmse,mae,time_s
Lasso Regression,0.13581455,1.2043691865219495,1.0020906925201416,5.084521532058716
ElasticNet,0.21472001,1.148070192311162,0.9546059370040894,5.350684642791748
Decision Tree,0.4441965875051117,0.9658657664372964,0.6577973516358213,5.114409923553467
Bayesian Ridge,0.47476327,0.9389310405198968,0.7272064089775085,3.939743995666504
PLS Regression,0.4286420451947539,0.979287718980278,0.7620338602209097,1.115943193435669
Ridge Regression,0.37206763,1.0266268008922432,0.7668092846870422,0.43430280685424805
Gradient Boosting,0.48925997212739103,0.9258830144632542,0.7218472990443554,36.92130374908447
XGBoost,0.5924508,0.8270774549632482,0.57541424036026,22.052183628082275
SVR (RBF),0.52284503,0.8949234614863959,0.6675676107406616,0.5040237903594971
SVR (Linear),0.30651295,1.078885515084204,0.784934937953949,8.439508199691772
k-Nearest Neighbors,0.49576205,0.9199705657707822,0.6895765662193298,0.07809972763061523
MLP Regressor,0.5154149,0.901864324917602,0.6844080686569214,18.017134189605713
AdaBoost,0.297741040808957,1.0856874390776512,0.9032254325692534,15.544923067092896
Random Forest,0.6172782,0.8014893169345536,0.5913774371147156,233.07104873657227
