model,r2,rmse,mae,time_s
Lasso Regression,0.14165765,1.2002907102832212,0.9995385408401489,5.084521532058716
ElasticNet,0.2232508,1.1418172275270573,0.9499787092208862,5.350684642791748
Decision Tree,0.9119649138261512,0.38440060794844744,0.14141675286763522,5.114409923553467
Bayesian Ridge,0.57974434,0.8398717121526034,0.6455902457237244,3.939743995666504
PLS Regression,0.5231125455151471,0.8946725605183999,0.6926292446821872,1.115943193435669
Ridge Regression,0.66745937,0.7470996327349905,0.5638597011566162,0.43430280685424805
Gradient Boosting,0.5713947541405926,0.8481739115344847,0.6569814527604614,36.92130374908447
XGBoost,0.90979004,0.3891198533462555,0.16617141664028168,22.052183628082275
SVR (RBF),0.6385206,0.7789290858128551,0.5355995893478394,0.5040237903594971
SVR (Linear),0.63962173,0.7777418334541994,0.530667245388031,8.439508199691772
k-Nearest Neighbors,0.6613917,0.7538847846103206,0.5477809906005859,0.07809972763061523
MLP Regressor,0.73817873,0.6629161814055075,0.4703432619571686,18.017134189605713
AdaBoost,0.35491072715042216,1.0405574886022289,0.8652259833917203,15.544923067092896
Random Forest,0.85459185,0.4940268494871337,0.33973243832588196,233.07104873657227
