model,r2,rmse,mae,time_s
Lasso Regression,0.10843027,1.2069414222649206,1.0019947290420532,3.68363356590271
ElasticNet,0.18911827,1.1510316782154049,0.9562367796897888,4.785470724105835
Decision Tree,0.4018856418802669,0.9885545624915248,0.6853950826022899,5.746824264526367
Bayesian Ridge,0.44533736,0.9519693842060133,0.7439844608306885,3.8831844329833984
PLS Regression,0.3957231005784968,0.9936341903580708,0.7804352173770318,1.5506324768066406
Ridge Regression,0.36485595,1.01869611773142,0.7782461047172546,0.43950510025024414
Gradient Boosting,0.4483243368557511,0.9494026589423179,0.7475862078153739,42.282960414886475
XGBoost,0.5306382,0.8757142149343575,0.6293095946311951,22.03464913368225
SVR (RBF),0.48294604,0.9191290157961369,0.6938375234603882,0.4479563236236572
SVR (Linear),0.28861368,1.0781055393397616,0.7980460524559021,6.977833032608032
k-Nearest Neighbors,0.4422874,0.9545831314202146,0.7106317281723022,0.08290505409240723
MLP Regressor,0.48680288,0.9156945810797325,0.6933978796005249,19.817811489105225
AdaBoost,0.28929556503665477,1.0775887373118216,0.8875946154210976,11.988350868225098
Random Forest,0.56604433,0.8420370869974858,0.6206142902374268,228.3576900959015
