model,r2,rmse,mae,time_s
Lasso Regression,0.11401892,1.2031526933925962,0.999458909034729,3.68363356590271
ElasticNet,0.1971032,1.1453504527466403,0.9521485567092896,4.785470724105835
Decision Tree,0.8402356230519402,0.5109148264802013,0.24247716917589393,5.746824264526367
Bayesian Ridge,0.5521234,0.8554363505877696,0.6631672978401184,3.8831844329833984
PLS Regression,0.49637683450071934,0.9071129772393952,0.7096239106732317,1.5506324768066406
Ridge Regression,0.63953066,0.7674369390967002,0.5818759799003601,0.43950510025024414
Gradient Boosting,0.5396944749675945,0.8672246718464217,0.6789978531983798,42.282960414886475
XGBoost,0.8392135,0.5125465104467789,0.25544217228889465,22.03464913368225
SVR (RBF),0.6009762,0.8074356853040401,0.5665573477745056,0.4479563236236572
SVR (Linear),0.612149,0.7960511979550217,0.5481971502304077,6.977833032608032
k-Nearest Neighbors,0.5972176,0.8112295561978549,0.5870472192764282,0.08290505409240723
MLP Regressor,0.65638924,0.749276169534688,0.5551745891571045,19.817811489105225
AdaBoost,0.3055096170687408,1.0652257320600804,0.8834588505865254,11.988350868225098
Random Forest,0.7940734,0.580049096610983,0.3924378752708435,228.3576900959015
