model,r2,rmse,mae,time_s
Lasso Regression,0.19917071,1.1346252669758246,0.9362893104553223,3.1357603073120117
ElasticNet,0.32287496,1.0433185005250807,0.8532131910324097,7.465540647506714
Decision Tree,0.4278007848053832,0.95908279962751,0.6307765055135051,15.182205438613892
Bayesian Ridge,0.55528176,0.8455220440472914,0.6526468396186829,6.712648153305054
PLS Regression,0.5133207282560301,0.8845123440339218,0.683517738893308,2.1609110832214355
Ridge Regression,0.31115538,1.0523085715029163,0.7807471752166748,0.5226547718048096
Gradient Boosting,0.554124141199039,0.8466218112196795,0.6541894393189709,63.59653067588806
XGBoost,0.6797595,0.7174978544621837,0.4889816343784332,27.1186363697052
SVR (RBF),0.61074996,0.7910370246912423,0.5853904485702515,0.5272846221923828
SVR (Linear),0.17259973,1.1532947301651777,0.8324154019355774,40.360026836395264
k-Nearest Neighbors,0.5637729,0.8374112765444658,0.6307560205459595,0.09502863883972168
MLP Regressor,0.59497094,0.8069108782768809,0.5976951122283936,20.479841232299805
AdaBoost,0.3625897061772909,1.0122598462481913,0.8525225066889693,253.56645917892456
Random Forest,0.6800997,0.7171166561599464,0.5332165956497192,304.6005291938782
