model,r2,rmse,mae,time_s
Lasso Regression,0.20630288,1.1295614486163452,0.9321739673614502,3.1357603073120117
ElasticNet,0.34110433,1.029178735659692,0.841959536075592,7.465540647506714
Decision Tree,1.0,0.0,0.0,15.182205438613892
Bayesian Ridge,0.71166945,0.680812956233858,0.5250059366226196,6.712648153305054
PLS Regression,0.6703721347593776,0.7279380691340085,0.5635326427761089,2.1609110832214355
Ridge Regression,0.8114879,0.5504933950996366,0.43108001351356506,0.5226547718048096
Gradient Boosting,0.6735335267587665,0.7244389080087348,0.5618971083210292,63.59653067588806
XGBoost,0.99982816,0.016619833540965804,0.006903692148625851,27.1186363697052
SVR (RBF),0.775523,0.6007148914372984,0.39260727167129517,0.5272846221923828
SVR (Linear),0.75947475,0.6218173292629886,0.3890339434146881,40.360026836395264
k-Nearest Neighbors,0.73119134,0.6573612477571763,0.48444774746894836,0.09502863883972168
MLP Regressor,0.87782896,0.44316616133507686,0.3214889168739319,20.479841232299805
AdaBoost,0.4020673363603189,0.9804119874470824,0.8344994916119471,253.56645917892456
Random Forest,0.9455042,0.2959811406651836,0.222031369805336,304.6005291938782
