model,r2,rmse,mae,time_s
Lasso Regression,0.13784319,1.1868659384624125,0.9811275005340576,3.080047130584717
ElasticNet,0.26588196,1.0951950880999375,0.9007018208503723,5.921761751174927
Decision Tree,0.47144671654353965,0.9292935404481237,0.627027666284563,12.137067079544067
Bayesian Ridge,0.5263548,0.8797010769651759,0.6815714240074158,6.291490793228149
PLS Regression,0.48942319083339836,0.913353869988685,0.7132996318642382,1.573671579360962
Ridge Regression,0.28174466,1.0832980896034181,0.7970317006111145,0.5715572834014893
Gradient Boosting,0.5280248404136025,0.8781487790137895,0.6822979448161404,65.01336717605591
XGBoost,0.6304778,0.7770138908087194,0.5397573709487915,26.458260536193848
SVR (RBF),0.5789313,0.8294400983155599,0.6048095226287842,0.5602400302886963
SVR (Linear),0.16171426,1.1703198095279284,0.8293165564537048,32.32115650177002
k-Nearest Neighbors,0.5083902,0.8962286291407613,0.6534388661384583,0.10426449775695801
MLP Regressor,0.58452284,0.8239144581632382,0.6052239537239075,25.091602087020874
AdaBoost,0.3629453736129631,1.0202271291826752,0.8377034109392199,25.393665552139282
Random Forest,0.64044666,0.7664612076679433,0.5605475902557373,305.57901215553284
