model,r2,rmse,mae,time_s
Lasso Regression,0.14708263,1.1804891729702565,0.9760892987251282,3.080047130584717
ElasticNet,0.28237098,1.08282562732308,0.8905343413352966,5.921761751174927
Decision Tree,0.9254087964521915,0.3491020010189409,0.11850340812545718,12.137067079544067
Bayesian Ridge,0.6621331,0.7429871918869426,0.5686877965927124,6.291490793228149
PLS Regression,0.621245497597566,0.7866606613919506,0.6085761349670098,1.573671579360962
Ridge Regression,0.7660388,0.618273250825976,0.45901793241500854,0.5715572834014893
Gradient Boosting,0.6380017891866016,0.7690626902858949,0.5956163787319292,65.01336717605591
XGBoost,0.9253744,0.3491824649675149,0.12191613763570786,26.458260536193848
SVR (RBF),0.72203195,0.6739163548299911,0.4362342059612274,0.5602400302886963
SVR (Linear),0.71752214,0.6793611554206469,0.4172571003437042,32.32115650177002
k-Nearest Neighbors,0.6819056,0.7209190314035153,0.5133050680160522,0.10426449775695801
MLP Regressor,0.85213584,0.4915186257738098,0.31828224658966064,25.091602087020874
AdaBoost,0.3957695231820437,0.9935960224485598,0.824847100470363,25.393665552139282
Random Forest,0.87932897,0.4440277372172015,0.29293134808540344,305.57901215553284
