model,r2,rmse,mae,time_s
Lasso Regression,0.012992322,1.2506662023983346,1.0465532541275024,0.059157371520996094
ElasticNet,0.109520376,1.1879362509638574,0.9905530214309692,0.10543012619018555
Decision Tree,0.34613489407660714,1.0179471351927012,0.7464008422672809,0.17807412147521973
Bayesian Ridge,0.21914977,1.1124103017071432,0.9101254343986511,0.05691719055175781
PLS Regression,0.2176939056600834,1.1134468744096693,0.909834110311386,0.1041254997253418
Ridge Regression,0.21763802,1.113486662536004,0.9098723530769348,0.04976487159729004
Gradient Boosting,0.3390738062558748,1.0234287802853597,0.8225782073300016,1.7344553470611572
XGBoost,0.39208,0.9815317599812541,0.731480062007904,11.846791505813599
SVR (RBF),0.39863706,0.9762239708648043,0.7446922659873962,0.31031298637390137
SVR (Linear),0.20053202,1.12559377047666,0.9048305749893188,0.6033289432525635
k-Nearest Neighbors,0.34866762,1.0159737208376998,0.7851169109344482,0.027661561965942383
MLP Regressor,0.35892487,1.0079421913622997,0.7963319420814514,10.98254108428955
AdaBoost,0.20724279552228853,1.1208596688072476,0.9361897222542616,0.7489931583404541
Random Forest,0.44391686,0.938752259913339,0.7136639356613159,22.555336713790894
