model,r2,rmse,mae,time_s
Lasso Regression,0.014547408,1.2496805736581604,1.0459728240966797,0.059157371520996094
ElasticNet,0.11441451,1.1846672704001373,0.9882218241691589,0.10543012619018555
Decision Tree,0.6802467896123724,0.7118501821836385,0.45312684002592374,0.17807412147521973
Bayesian Ridge,0.23820281,1.0987549302790132,0.8995322585105896,0.05691719055175781
PLS Regression,0.23878392146341754,1.0983357510668497,0.8982372863362701,0.1041254997253418
Ridge Regression,0.23879004,1.098331338844939,0.8982935547828674,0.04976487159729004
Gradient Boosting,0.38888332698705164,0.9841090146886619,0.7925154035184084,1.7344553470611572
XGBoost,0.6773987,0.7150134942975467,0.4670908451080322,11.846791505813599
SVR (RBF),0.48634988,0.9022249746385046,0.6576706171035767,0.31031298637390137
SVR (Linear),0.22184533,1.1104886013203443,0.8880977630615234,0.6033289432525635
k-Nearest Neighbors,0.48753887,0.9011801280688372,0.6829977631568909,0.027661561965942383
MLP Regressor,0.5262135,0.8665077707236074,0.6668828725814819,10.98254108428955
AdaBoost,0.2295236705675554,1.1049962245538725,0.9265922542248164,0.7489931583404541
Random Forest,0.6557582,0.7386061745589791,0.5285129547119141,22.555336713790894
