model,r2,rmse,mae,time_s
Lasso Regression,0.06853849,1.2336472406078403,1.027289628982544,0.0750737190246582
ElasticNet,0.13084257,1.1916747744268865,0.9921263456344604,0.10905742645263672
Decision Tree,0.3461558667844785,1.0335836874877815,0.7643703946813717,0.1764986515045166
Bayesian Ridge,0.24199009,1.1128738996561784,0.8997222781181335,0.07213878631591797
PLS Regression,0.24055227993652306,1.113928901625076,0.8986522835847726,0.10020208358764648
Ridge Regression,0.24050844,1.113961049044421,0.8986442685127258,0.046926021575927734
Gradient Boosting,0.33648951162271334,1.0411958465427416,0.833042474232974,1.788865566253662
XGBoost,0.38274997,1.0042436084843058,0.7507303357124329,12.076351165771484
SVR (RBF),0.39369756,0.995298120224108,0.7615872025489807,0.2913393974304199
SVR (Linear),0.23175883,1.1203593330756234,0.8949140310287476,0.6034355163574219
k-Nearest Neighbors,0.28696984,1.079350479898882,0.8193660378456116,0.026885032653808594
MLP Regressor,0.38314533,1.003921983647531,0.7879055142402649,11.97415542602539
AdaBoost,0.23355793529309443,1.119046664022443,0.9280812869888494,0.641460657119751
Random Forest,0.4279204,0.9668002658360676,0.7381749749183655,22.276855945587158
