model,r2,rmse,mae,time_s
Lasso Regression,0.07330948,1.2304837664944317,1.0252132415771484,0.0750737190246582
ElasticNet,0.13589507,1.18820606121719,0.9899075627326965,0.10905742645263672
Decision Tree,0.6479198263657476,0.75845412154512,0.5050596049521744,0.1764986515045166
Bayesian Ridge,0.26034617,1.0993166274664985,0.8890772461891174,0.07213878631591797
PLS Regression,0.26096253901136734,1.0988584628762508,0.8870560488164152,0.10020208358764648
Ridge Regression,0.26099175,1.0988367866204567,0.8872188925743103,0.046926021575927734
Gradient Boosting,0.39504170125753635,0.9941942571936738,0.796009548437658,1.788865566253662
XGBoost,0.6464461,0.7600398414609001,0.5125880837440491,12.076351165771484
SVR (RBF),0.4734857,0.9274993277493326,0.680776059627533,0.2913393974304199
SVR (Linear),0.2515759,1.1058148492697493,0.8790982961654663,0.6034355163574219
k-Nearest Neighbors,0.4678203,0.9324760609844533,0.6956580877304077,0.026885032653808594
MLP Regressor,0.4792946,0.9223687094533232,0.722996175289154,11.97415542602539
AdaBoost,0.2522044939701522,1.1053503580712944,0.9209534241334837,0.641460657119751
Random Forest,0.62768185,0.7799479506316944,0.5662719011306763,22.276855945587158
