model,r2,rmse,mae,time_s
Lasso Regression,0.10380709,1.211189047005109,1.0046522617340088,8.053792715072632
ElasticNet,0.21975034,1.1301288781898569,0.9341098666191101,45.35126090049744
Decision Tree,0.4911061706257184,0.9126930915873968,0.5846246683745958,1.601405143737793
Bayesian Ridge,0.46862853,0.932631918905659,0.7241247892379761,1.6968839168548584
PLS Regression,0.43370535771666696,0.9627918320337677,0.7440290749976672,0.8402056694030762
Ridge Regression,0.29854202,1.0715489172331893,0.7771004438400269,0.28600263595581055
Gradient Boosting,0.5023403620143934,0.9025626977536727,0.7223626253161807,23.61501693725586
XGBoost,0.67317975,0.7314179724764619,0.49401354789733887,18.505072832107544
SVR (RBF),0.19771194,1.1459781497416797,0.9183223247528076,0.4111058712005615
k-Nearest Neighbors,0.4824652,0.9204091848676903,0.6952176690101624,0.06694412231445312
MLP Regressor,0.48888642,0.9146814777370205,0.6819596290588379,22.95559787750244
AdaBoost,0.2671224569921756,1.0952843389667881,0.92325874926542,14.739607810974121
Random Forest,0.627615,0.7807414879482986,0.5920190811157227,145.18027663230896
SVR (Linear),0.38635829981347614,0.9998560458031376,0.7330566630575717,84.03918194770813
