model,r2,rmse,mae,time_s
Lasso Regression,0.112778366,1.2051115108669248,0.9993827939033508,8.053792715072632
ElasticNet,0.23660523,1.1178556991560862,0.9236932992935181,45.35126090049744
Decision Tree,1.0,0.0,0.0,1.601405143737793
Bayesian Ridge,0.5723295,0.8366923978985179,0.6507712602615356,1.6968839168548584
PLS Regression,0.5358400179937972,0.8716557876471283,0.674161502206959,0.8402056694030762
Ridge Regression,0.559608,0.8490453492174438,0.6635795831680298,0.28600263595581055
Gradient Boosting,0.596074401515666,0.813133510527099,0.6551672823341339,23.61501693725586
XGBoost,0.99617106,0.07916816215399285,0.04776814952492714,18.505072832107544
SVR (RBF),0.22852486,1.1237563040347534,0.8948933482170105,0.4111058712005615
k-Nearest Neighbors,0.6813073,0.7222660970402646,0.5415933132171631,0.06694412231445312
MLP Regressor,0.8466736,0.5009791204970939,0.32888561487197876,22.95559787750244
AdaBoost,0.2818456556339759,1.0842266223537753,0.9162084343477268,14.739607810974121
Random Forest,0.8342179,0.5209306784894302,0.3883981704711914,145.18027663230896
SVR (Linear),0.5602030318309081,0.8464594546822768,0.5949337208764024,84.03918194770813
