model,r2,rmse,mae,time_s
Lasso Regression,0.101418495,1.2116781615315877,1.0025992393493652,21.26680278778076
ElasticNet,0.20251721,1.1414823053753866,0.9425693154335022,41.564385652542114
Decision Tree,0.4710320264337977,0.9296580195784239,0.614027136771301,1.3089749813079834
Bayesian Ridge,0.44639617,0.9510603571068768,0.7435941100120544,1.6290082931518555
PLS Regression,0.4066594828065253,0.9846015922171999,0.7666366248245742,0.8323733806610107
Ridge Regression,0.21962643,1.129171267754634,0.820442795753479,0.2668168544769287
Gradient Boosting,0.490268993049779,0.9125970427009382,0.730233315684767,23.59077787399292
XGBoost,0.66059494,0.7446765721808353,0.5148998498916626,18.372596502304077
SVR (RBF),0.18309242,1.1553005753826016,0.9306607842445374,0.4186732769012451
k-Nearest Neighbors,0.47496527,0.9261952050149382,0.6915116906166077,0.0728611946105957
MLP Regressor,0.4824779,0.9195449607689057,0.6985747218132019,24.05202841758728
AdaBoost,0.27126005489424954,1.0911760335014393,0.9199370977954516,10.748831510543823
Random Forest,0.61581135,0.7922838381964723,0.5991871953010559,146.35776948928833
SVR (Linear),0.3469892332061738,1.0329247909963553,0.7610119575651564,92.70365500450134
