model,r2,rmse,mae,time_s
Lasso Regression,0.11576706,1.2019651693162792,0.9951712489128113,21.26680278778076
ElasticNet,0.22256738,1.1270415008641452,0.9308620095252991,41.564385652542114
Decision Tree,0.9596491391044508,0.25676447331369906,0.08324564556743805,1.3089749813079834
Bayesian Ridge,0.55569065,0.8520229039919346,0.6692717671394348,1.6290082931518555
PLS Regression,0.5202627492786964,0.8853403374778551,0.6937862240953747,0.8323733806610107
Ridge Regression,0.45509696,0.9435570235352765,0.7381078004837036,0.2668168544769287
Gradient Boosting,0.5755265110000916,0.8327867684187131,0.6700650206032375,23.59077787399292
XGBoost,0.9568903,0.26539710029381286,0.11688873171806335,18.372596502304077
SVR (RBF),0.21080238,1.1355373365108556,0.9087812900543213,0.4186732769012451
k-Nearest Neighbors,0.6691828,0.7351951078063281,0.5397651791572571,0.0728611946105957
MLP Regressor,0.8047037,0.5648791015874528,0.36220893263816833,24.05202841758728
AdaBoost,0.2880367983991865,1.0785426026624445,0.9134867815954235,10.748831510543823
Random Forest,0.8195306,0.543013070033511,0.404813289642334,146.35776948928833
SVR (Linear),0.5416560907753438,0.8653748358623938,0.6158787826056719,92.70365500450134
