model,r2,rmse,mae,time_s
Lasso Regression,0.085624814,1.2287745362138138,1.024340271949768,0.6079838275909424
ElasticNet,0.17500556,1.1671737465820538,0.974222719669342,2.3944292068481445
Decision Tree,0.44248717868839027,0.9594832901318362,0.6272685496790681,2.273874521255493
Bayesian Ridge,0.48007017,0.926578773754461,0.7280217409133911,1.301677942276001
PLS Regression,0.45115743196171476,0.9519932735612289,0.7451901064841282,0.6864557266235352
Ridge Regression,0.47107488,0.9345597891379512,0.7269015312194824,0.23190712928771973
Gradient Boosting,0.49137583526223905,0.9164493779946353,0.730309581826371,19.31622338294983
XGBoost,0.6540868,0.7557767679973937,0.5211657285690308,16.07118821144104
SVR (RBF),0.5497241,0.8622820150261166,0.6379257440567017,0.4596402645111084
SVR (Linear),0.42483938,0.9745509984454453,0.7307693362236023,5.607941627502441
k-Nearest Neighbors,0.51690656,0.8931523986094849,0.6700918078422546,0.062355995178222656
MLP Regressor,0.5688489,0.8437712631372052,0.6341707706451416,18.818631649017334
AdaBoost,0.2579516611057582,1.1069451061575084,0.9351653308055168,10.916120529174805
Random Forest,0.6206653,0.7914459188447779,0.6057637929916382,124.43433499336243
