model,r2,rmse,mae,time_s
Lasso Regression,0.08823067,1.227022364234592,1.0230507850646973,0.6079838275909424
ElasticNet,0.181463,1.1625968359536165,0.9710989594459534,2.3944292068481445
Decision Tree,1.0,0.0,0.0,2.273874521255493
Bayesian Ridge,0.57097656,0.8416867637752861,0.658749520778656,1.301677942276001
PLS Regression,0.5468959948771823,0.8649857174271636,0.6740955841428743,0.6864557266235352
Ridge Regression,0.6150021,0.7973319594707369,0.6212131381034851,0.23190712928771973
Gradient Boosting,0.5695497756315817,0.843085180024017,0.672388082718391,19.31622338294983
XGBoost,0.99447435,0.0955215843974378,0.05360614135861397,16.07118821144104
SVR (RBF),0.6799602,0.7269624409188857,0.4897139072418213,0.4596402645111084
SVR (Linear),0.57825565,0.8345158690217394,0.5887678265571594,5.607941627502441
k-Nearest Neighbors,0.7000879,0.7037314448781686,0.5247054696083069,0.062355995178222656
MLP Regressor,0.90090585,0.4045144384905238,0.25847214460372925,18.818631649017334
AdaBoost,0.27094716075613134,1.0972093220477281,0.9306185973162265,10.916120529174805
Random Forest,0.83081746,0.5285520767983057,0.3986995816230774,124.43433499336243
