model,r2,rmse,mae,time_s
Lasso Regression,0.05486101,1.2426716083089318,1.0343399047851562,0.5387189388275146
ElasticNet,0.14822996,1.179694927267984,0.9844921231269836,2.152456045150757
Decision Tree,0.4944160084349888,0.9088771562409345,0.6123660008053128,1.469438076019287
Bayesian Ridge,0.46519756,0.9347709990369641,0.7388747930526733,1.3226618766784668
PLS Regression,0.4368223096389402,0.9592487722726358,0.7586108482979523,0.5906181335449219
Ridge Regression,0.44533175,0.9519742053127656,0.7445588111877441,0.23422932624816895
Gradient Boosting,0.47217917813984156,0.9286494163538783,0.7430099550436,17.8872013092041
XGBoost,0.6202526,0.7876910765004537,0.5549763441085815,16.308714151382446
SVR (RBF),0.53543174,0.8712309656567865,0.64997398853302,0.3993661403656006
SVR (Linear),0.40102184,0.9892681456437598,0.7501166462898254,4.469821929931641
k-Nearest Neighbors,0.4943359,0.9089491538587497,0.6798483729362488,0.06534266471862793
MLP Regressor,0.5647829,0.843259987003777,0.638660192489624,19.07280468940735
AdaBoost,0.2570027509414323,1.101798390749793,0.9286060456959283,5.509628534317017
Random Forest,0.608692,0.7995909986448263,0.6119832396507263,125.58369326591492
