model,r2,rmse,mae,time_s
Lasso Regression,0.060252964,1.2391218827823254,1.0322176218032837,0.5387189388275146
ElasticNet,0.15649486,1.1739575509872922,0.980055570602417,2.152456045150757
Decision Tree,0.9321651916497968,0.3329161257752253,0.12241555413206996,1.469438076019287
Bayesian Ridge,0.5581708,0.8496415055436645,0.6709845066070557,1.3226618766784668
PLS Regression,0.5304883932353972,0.8758539587650758,0.6905291991020213,0.5906181335449219
Ridge Regression,0.5993986,0.8090302767917382,0.6358991861343384,0.23422932624816895
Gradient Boosting,0.5443150594631245,0.8628610575669151,0.692715983197546,17.8872013092041
XGBoost,0.928011,0.3429585144670626,0.15751628577709198,16.308714151382446
SVR (RBF),0.65203404,0.7540096152803027,0.5191636085510254,0.3993661403656006
SVR (Linear),0.56341326,0.8445858171110011,0.6034230589866638,4.469821929931641
k-Nearest Neighbors,0.6695498,0.7347870746018765,0.5356395244598389,0.06534266471862793
MLP Regressor,0.7921138,0.5828024344303757,0.4142301678657532,19.07280468940735
AdaBoost,0.26296779542669924,1.0973666645346973,0.9302263793921104,5.509628534317017
Random Forest,0.80329365,0.5669147182290746,0.42385777831077576,125.58369326591492
