model,r2,rmse,mae,time_s
Lasso Regression,0.07397658,1.2245029238926475,1.0182584524154663,1.5839910507202148
ElasticNet,0.16367191,1.1636896752477957,0.9634841084480286,0.3943955898284912
Decision Tree,0.46098141957509065,0.9342233243114836,0.6351869092728163,1.181990623474121
Bayesian Ridge,0.38367355,0.998974124888379,0.7940546274185181,0.29024720191955566
PLS Regression,0.37598376454373783,1.005186813127955,0.7965692659795919,0.2039027214050293
Ridge Regression,0.38196486,1.0003579214426415,0.792072057723999,0.2456824779510498
Gradient Boosting,0.47340356223509805,0.9233955906675321,0.7343553005285681,7.115270376205444
XGBoost,0.5964256,0.8083708451274735,0.5744336247444153,14.214641809463501
SVR (RBF),0.5272558,0.8749071480667776,0.6445608735084534,1.5031259059906006
SVR (Linear),0.3492936,1.026458474844372,0.7849186062812805,3.2359166145324707
k-Nearest Neighbors,0.5011481,0.8987412312468495,0.6715368628501892,0.21496915817260742
MLP Regressor,0.5317112,0.8707745228002212,0.6635064482688904,19.441215991973877
AdaBoost,0.28221494343771925,1.078067724587661,0.8995968885006965,2.5064594745635986
Random Forest,0.6276992,0.776418432307886,0.5800508260726929,49.6533420085907
