model,r2,rmse,mae,time_s
Lasso Regression,0.077263236,1.222327971338919,1.0167832374572754,1.5839910507202148
ElasticNet,0.17086095,1.1586773626776157,0.9599390029907227,0.3943955898284912
Decision Tree,0.9338227934881768,0.3273429962311119,0.13143666877120025,1.181990623474121
Bayesian Ridge,0.43057698,0.9602102613660796,0.7645020484924316,0.29024720191955566
PLS Regression,0.4228340784220088,0.9667166045475954,0.7673895264010263,0.2039027214050293
Ridge Regression,0.439326,0.9528050432823616,0.756177544593811,0.2456824779510498
Gradient Boosting,0.5421742471205286,0.8609916647452078,0.6855071424101147,7.115270376205444
XGBoost,0.9317718,0.3323768500061024,0.1577068716287613,14.214641809463501
SVR (RBF),0.6385978,0.7649697204905332,0.5252743363380432,1.5031259059906006
SVR (Linear),0.40710175,0.9798033686842185,0.7350792288780212,3.2359166145324707
k-Nearest Neighbors,0.68884575,0.7098011534914999,0.5287231802940369,0.21496915817260742
MLP Regressor,0.8020786,0.5661027292397051,0.4169592261314392,19.441215991973877
AdaBoost,0.3123980133151334,1.055157765129288,0.8854162210728477,2.5064594745635986
Random Forest,0.8841658,0.43307907901431336,0.31262725591659546,49.6533420085907
