model,r2,rmse,mae,time_s
Ridge Regression,0.37673212691203506,1.0091271729576055,0.8008267704484909,28.434134006500244
Lasso Regression,0.08475798997030148,1.2228593347034007,1.0143314361466342,0.050666093826293945
ElasticNet,0.16996312490375898,1.1645475427283065,0.9641668787143294,0.04657888412475586
k-Nearest Neighbors,0.47176237958585665,0.9290160004526241,0.6872203641768859,11.560389995574951
SVR (RBF),0.5004565319948341,0.9034313818190621,0.6756568138439145,6.094214916229248
SVR (Linear),0.3476948988206727,1.0323665333310101,0.7930201813402639,7.526268243789673
Decision Tree,0.44780248124628674,0.9498515929634497,0.6708646142076459,0.2787649631500244
Random Forest,0.5965573517244882,0.8118941888709158,0.6011775233967782,80.18380427360535
Extra Trees,0.47539332686526037,0.9258176058262613,0.6562518805117543,96.2142322063446
Gradient Boosting,0.44915443539012645,0.9486881118520379,0.7566770299937798,5.64307713508606
Bayesian Ridge,0.37957412,1.006823801435557,0.8037930727005005,6.447687864303589
PLS Regression,0.3719386518957555,1.0130002775503273,0.8060652083472901,0.6098775863647461
XGBoost,0.5710002,0.8372151246164122,0.6028450727462769,15.591574668884277
MLP Regressor,0.514947,0.890231865565072,0.6780089735984802,17.44864511489868
AdaBoost,0.29045750192457875,1.0767074973586817,0.8977504415771196,2.378387451171875
