model,r2_train,rmse_train,mae_train,r2_test,rmse_test,mae_test,time_s
Random Forest,0.8415057127055233,0.5088799461691796,0.34152122176919175,0.5111469490200058,0.8753150068940695,0.6564703686649931,2.339826822280884
Gradient Boosting,0.6866392783100561,0.7155348804896673,0.5442281494425817,0.4840124316059735,0.8992797798803785,0.6853074267682597,3.1541249752044678
SVR (RBF),0.6060861934426452,0.8022489021682103,0.5634323358653992,0.4746190941827544,0.9074283674813322,0.6772726227444789,1.6952781677246094
XGBoost,0.8664502180360845,0.4671217848222184,0.2436262987059583,0.43683015230309774,0.9394959376401859,0.6815676357598239,3.428847074508667
MLP Regressor,0.7735121004645866,0.60831851084198,0.4240175496127985,0.41678412901078654,0.9560704080159578,0.7194673604083308,3.5587382316589355
k-Nearest Neighbors,0.6561430921084751,0.749544474075831,0.5500988480118915,0.4056946954197641,0.9651171046658578,0.7164357034795763,3.7953240871429443
Extra Trees,0.8672889284790942,0.46565268109195695,0.23067133661943864,0.3493100219428098,1.0098625527738019,0.7267800950072806,2.704524040222168
Decision Tree,0.8672889284790942,0.46565268109195695,0.2306713366194195,0.3378772015057623,1.0186957171835882,0.7286604071817723,0.02991795539855957
Bayesian Ridge,0.42733166168528025,0.9672976133681057,0.7723190494598394,0.33668116382960933,1.0196153719200949,0.814816776474265,2.1232070922851562
Ridge Regression,0.43597492015040895,0.9599701695279317,0.7626823161242762,0.33273212585883793,1.0226459844084776,0.8180591109600838,2.084049940109253
PLS Regression,0.42088830126329335,0.9727241517956677,0.7761172680581707,0.33068619643782016,1.0242125667780626,0.8170646096637025,0.14520907402038574
SVR (Linear),0.4074515829716555,0.9839441570671947,0.7422531891938183,0.28393512214442795,1.0593790876471827,0.8310889510333952,1.1643261909484863
AdaBoost,0.3235148465458597,1.0513266291913985,0.8815218169167552,0.2602631010147095,1.0767474465049207,0.8956885522612537,0.19708991050720215
ElasticNet,0.1782126428487314,1.1587460261007387,0.9595859957262922,0.14144103745840542,1.1600060984227702,0.9633082890335869,0.008571863174438477
Lasso Regression,0.09062045307375166,1.218936610146499,1.0118569062110943,0.0700844491898982,1.2072493062934386,1.0089174932649878,0.0378880500793457
Gaussian Process,0.867288954189428,0.4656526359861257,0.23067330169734615,-4.474329322607344,2.9291436405115565,2.099656274049618,4.207792282104492
