model,r2,rmse,mae,time_s
Ridge Regression,0.43597492015040895,0.9599701695279317,0.7626823161242762,28.434134006500244
Lasso Regression,0.09062045307375166,1.218936610146499,1.0118569062110943,0.050666093826293945
ElasticNet,0.1782126428487314,1.1587460261007387,0.9595859957262922,0.04657888412475586
k-Nearest Neighbors,0.6561430921084751,0.749544474075831,0.5500988480118915,11.560389995574951
SVR (RBF),0.6060861934426452,0.8022489021682103,0.5634323358653992,6.094214916229248
SVR (Linear),0.4074515829716555,0.9839441570671947,0.7422531891938183,7.526268243789673
Decision Tree,0.8672889284790942,0.46565268109195695,0.2306713366194195,0.2787649631500244
Random Forest,0.8415057127055233,0.5088799461691795,0.34152122176919175,80.18380427360535
Extra Trees,0.8672889284790942,0.46565268109195695,0.23067133661943864,96.2142322063446
Gradient Boosting,0.5253399899156662,0.880642928392906,0.7010923350539576,5.64307713508606
Bayesian Ridge,0.4273315,0.9672977267608227,0.7723190188407898,6.447687864303589
PLS Regression,0.42088829992691046,0.9727241548146216,0.776117267973812,0.6098775863647461
XGBoost,0.86645985,0.46710496575315663,0.24345968663692474,15.591574668884277
MLP Regressor,0.71906066,0.6775085996595808,0.49713462591171265,17.44864511489868
AdaBoost,0.3247693731187601,1.0503513480201891,0.8803770443551552,2.378387451171875
