model,r2,rmse,mae,time_s
Lasso Regression,0.12693083,1.2160020317104583,1.01793372631073,4.196166753768921
ElasticNet,0.23279631,1.1398962122535907,0.9514917135238647,6.1328699588775635
Decision Tree,0.46727518072066376,0.9498640052031706,0.6217538260064486,3.0009303092956543
Bayesian Ridge,0.47708052,0.9410817706976394,0.7347486019134521,1.3699209690093994
PLS Regression,0.4260468438670184,0.985934785062682,0.7691760858963377,0.6896703243255615
Ridge Regression,0.4792962,0.9390859540654012,0.7271673679351807,0.23721551895141602
Gradient Boosting,0.5112078858466039,0.9098547370008303,0.7189811501386856,21.500017166137695
XGBoost,0.6362919,0.7848495719522097,0.5450516939163208,17.370777130126953
SVR (RBF),0.5484513,0.8745049711187545,0.646159827709198,0.4064610004425049
SVR (Linear),0.44039452,0.9735336023594374,0.7280731201171875,8.028385400772095
k-Nearest Neighbors,0.5438967,0.8789042833094316,0.6546905636787415,0.0530698299407959
MLP Regressor,0.5777792,0.845628836454611,0.641469419002533,16.408918380737305
AdaBoost,0.2970344068947055,1.0911312636734747,0.9187035414110847,7.770385980606079
Random Forest,0.6656689,0.7524858445518531,0.5628101825714111,133.75712418556213
