model,r2,rmse,mae,time_s
Lasso Regression,0.13342774,1.2114691274899527,1.0146819353103638,4.196166753768921
ElasticNet,0.24093741,1.133832117490403,0.9468435049057007,6.1328699588775635
Decision Tree,0.9646713012263821,0.24460976255942637,0.07062276555928906,3.0009303092956543
Bayesian Ridge,0.5699091,0.8534736186499708,0.6681315302848816,1.3699209690093994
PLS Regression,0.5105754828895597,0.9104431352352257,0.7106727810684138,0.6896703243255615
Ridge Regression,0.6098212,0.8129087666985215,0.6332193613052368,0.23721551895141602
Gradient Boosting,0.5891796463277066,0.834134225620371,0.6585413103908669,21.500017166137695
XGBoost,0.9616898,0.2547225009528308,0.10754401236772537,17.370777130126953
SVR (RBF),0.6478108,0.7723212230313545,0.5360721945762634,0.4064610004425049
SVR (Linear),0.5737574,0.8496467669797968,0.6038517355918884,8.028385400772095
k-Nearest Neighbors,0.720261,0.6883137611911726,0.5081779360771179,0.0530698299407959
MLP Regressor,0.8075595,0.5708975991273272,0.41568198800086975,16.408918380737305
AdaBoost,0.29288778491829914,1.0943446899673797,0.9246213507849471,7.770385980606079
Random Forest,0.89039063,0.4308576775774198,0.31601813435554504,133.75712418556213
