model,r2,rmse,mae,time_s
Lasso Regression,0.12195772,1.197750173968018,0.992311418056488,7.611055850982666
ElasticNet,0.2222035,1.1273052121750766,0.9335255026817322,7.786288261413574
Decision Tree,0.4511878793335923,0.9469354557550544,0.6487367230089985,3.1047096252441406
Bayesian Ridge,0.4435845,0.9534724180816081,0.7511199712753296,1.4481985569000244
PLS Regression,0.40352775612753666,0.9871965987163851,0.7774420478111829,0.7265684604644775
Ridge Regression,0.439762,0.9567419432277671,0.7441234588623047,0.26182126998901367
Gradient Boosting,0.47318270913353067,0.9277661887348064,0.7339850016420634,24.366938829421997
XGBoost,0.58685774,0.8215960315639149,0.5807888507843018,17.54645586013794
SVR (RBF),0.5078138,0.8967538399551656,0.6685871481895447,0.40613269805908203
SVR (Linear),0.40406638,0.9867507784395552,0.7410054802894592,6.635652303695679
k-Nearest Neighbors,0.50470364,0.8995827051831647,0.6646496057510376,0.05781126022338867
MLP Regressor,0.5454301,0.8618047178518641,0.6475521326065063,19.134262084960938
AdaBoost,0.28860226879298057,1.0781142061837345,0.9025929441164686,6.096803188323975
Random Forest,0.61130357,0.7969183068568885,0.5941568613052368,131.72784614562988
