model,r2,rmse,mae,time_s
Lasso Regression,0.12965709,1.1924872325317708,0.9889273047447205,7.611055850982666
ElasticNet,0.2303381,1.1213947915412255,0.9290270209312439,7.786288261413574
Decision Tree,0.8942212718385251,0.41572649264246114,0.1846806037673488,3.1047096252441406
Bayesian Ridge,0.533911,0.8726557595875727,0.6864704489707947,1.4481985569000244
PLS Regression,0.48408024491027146,0.9181203418371243,0.7233175270757153,0.7265684604644775
Ridge Regression,0.58071953,0.8276769037534126,0.6457825899124146,0.26182126998901367
Gradient Boosting,0.5537163039476327,0.8539138181309025,0.6780674449621806,24.366938829421997
XGBoost,0.89310664,0.4179110620920906,0.20357969403266907,17.54645586013794
SVR (RBF),0.6070091,0.8013085466797194,0.5636184215545654,0.40613269805908203
SVR (Linear),0.5468482,0.8604593891377891,0.6167404055595398,6.635652303695679
k-Nearest Neighbors,0.677426,0.7259776314765258,0.5273051261901855,0.05781126022338867
MLP Regressor,0.75511473,0.6325427057150362,0.45359858870506287,19.134262084960938
AdaBoost,0.31105965268769975,1.0609608063779938,0.8876498660932306,6.096803188323975
Random Forest,0.83714163,0.5158382321660747,0.36149469017982483,131.72784614562988
