model,r2,rmse,mae,time_s
Lasso Regression,0.09003103,1.2209380633292108,1.0150777101516724,0.4504115581512451
ElasticNet,0.14774919,1.181582514066973,0.9764590263366699,1.0121195316314697
Decision Tree,0.4366069506209773,0.9606962298469809,0.6377724505558784,0.27535247802734375
Bayesian Ridge,0.2626508,1.0990487493891867,0.8939931988716125,0.11766672134399414
PLS Regression,0.25697592048436757,1.1032699469410563,0.8949545990869693,0.14317893981933594
Ridge Regression,0.26543218,1.0969738994473504,0.8928709626197815,0.05659842491149902
Gradient Boosting,0.4577001136132627,0.9425406741389861,0.7551431491464354,4.258244514465332
XGBoost,0.6195461,0.7894622243501219,0.5481418371200562,12.686634540557861
SVR (RBF),0.29988652,1.070938539841222,0.8473889827728271,0.28523802757263184
SVR (Linear),0.23328143,1.1207231181433233,0.8949905633926392,21.578027963638306
k-Nearest Neighbors,0.46745938,0.9340211217297228,0.6837918758392334,0.03199601173400879
MLP Regressor,0.44185072,0.9562149303213755,0.7248084545135498,15.269228219985962
AdaBoost,0.23705204857807838,1.1179639503563705,0.9408228859845282,1.9985787868499756
Random Forest,0.64476633,0.7628469084496582,0.5611165165901184,35.02855062484741
