model,r2,rmse,mae,time_s
Lasso Regression,0.096241295,1.2167646915104542,1.0120404958724976,0.4504115581512451
ElasticNet,0.15674275,1.175331511299364,0.9717268347740173,1.0121195316314697
Decision Tree,0.9663317073421741,0.23485017642359596,0.07230423370284997,0.27535247802734375
Bayesian Ridge,0.29321998,1.0760253141821823,0.8759239912033081,0.11766672134399414
PLS Regression,0.29063179908986303,1.0779936488058521,0.8746785729339153,0.14317893981933594
Ridge Regression,0.30124718,1.0698973692935356,0.8709124326705933,0.05659842491149902
Gradient Boosting,0.5374116718829985,0.8705178470094139,0.6981665718866432,4.258244514465332
XGBoost,0.9619196,0.24976467441429254,0.11751139909029007,12.686634540557861
SVR (RBF),0.3260296,1.0507532846352725,0.8243797421455383,0.28523802757263184
SVR (Linear),0.27869213,1.087027901088726,0.8576508164405823,21.578027963638306
k-Nearest Neighbors,0.6753377,0.7292833552770063,0.5298049449920654,0.03199601173400879
MLP Regressor,0.69987047,0.7011883449479648,0.5269824862480164,15.269228219985962
AdaBoost,0.22587858917801995,1.1261205498330613,0.9529449000154712,1.9985787868499756
Random Forest,0.89797217,0.40882705388000823,0.3003121018409729,35.02855062484741
