model,r2,rmse,mae,time_s
Lasso Regression,0.10465497,1.2094940935190155,1.0047873258590698,0.8419010639190674
ElasticNet,0.16425747,1.1685432373587656,0.9647056460380554,2.1442711353302
Decision Tree,0.42842024503552045,0.9663778115144509,0.6627272248175627,0.23357844352722168
Bayesian Ridge,0.2793857,1.0850755303106239,0.881842315196991,0.13341236114501953
PLS Regression,0.2691496910432072,1.0927548640037597,0.8822586727728715,0.14888381958007812
Ridge Regression,0.2799071,1.0846829199797294,0.8797849416732788,0.06238222122192383
Gradient Boosting,0.4492841899949028,0.9485763728536787,0.7620539182985326,4.361382722854614
XGBoost,0.5754452,0.8328665180830702,0.5816361308097839,12.809050559997559
SVR (RBF),0.2985232,1.0705703090721645,0.8550313711166382,0.2736649513244629
SVR (Linear),0.24850315,1.108082515377632,0.8772791624069214,21.338335514068604
k-Nearest Neighbors,0.4556917,0.943041919818166,0.7031118869781494,0.03138279914855957
MLP Regressor,0.43365532,0.9619421010844549,0.734261691570282,12.741012334823608
AdaBoost,0.2432379960961849,1.1119575042370464,0.9322855023019555,1.4333910942077637
Random Forest,0.59902716,0.8094052283338519,0.5966138243675232,34.175776720047
