model,r2,rmse,mae,time_s
Lasso Regression,0.11316067,1.2037352958565453,1.0004069805145264,0.8419010639190674
ElasticNet,0.17558879,1.160594459259228,0.958365261554718,2.1442711353302
Decision Tree,0.8975162690306424,0.40920034828843116,0.18701394004802846,0.23357844352722168
Bayesian Ridge,0.31149757,1.060623587684388,0.8625024557113647,0.13341236114501953
PLS Regression,0.3060647084258462,1.0647999408526703,0.8604217365559379,0.14888381958007812
Ridge Regression,0.3185135,1.0552057758889017,0.8566761016845703,0.06238222122192383
Gradient Boosting,0.5167383589276483,0.8885864634543448,0.7160922107987736,4.361382722854614
XGBoost,0.8955766,0.41305455298274657,0.21011017262935638,12.809050559997559
SVR (RBF),0.32545578,1.0498173486700162,0.8311839699745178,0.2736649513244629
SVR (Linear),0.2916857,1.0757752395495224,0.8426446914672852,21.338335514068604
k-Nearest Neighbors,0.65029883,0.7558873292154965,0.5442928075790405,0.03138279914855957
MLP Regressor,0.5205835,0.8850442813851249,0.691396176815033,12.741012334823608
AdaBoost,0.2635569687149907,1.096927967024292,0.9248508901704512,1.4333910942077637
Random Forest,0.8445716,0.5039340462521925,0.35737332701683044,34.175776720047
