model,r2,rmse,mae,time_s
Lasso Regression,0.008458912,1.2657636401688261,1.057973861694336,0.1258859634399414
ElasticNet,0.13278759,1.1837500541388912,0.9817779660224915,0.21712255477905273
Decision Tree,0.4138422625922874,0.973205392072259,0.7027272915036005,0.2580869197845459
Bayesian Ridge,0.2864495,1.0737658846549503,0.8604661226272583,0.12090873718261719
PLS Regression,0.2830001621196043,1.0763581018771986,0.8598247928918673,0.1267843246459961
Ridge Regression,0.28436738,1.0753313995358917,0.8592410683631897,0.058322906494140625
Gradient Boosting,0.3805291292598074,1.0004783616233488,0.7997573540400262,2.8285574913024902
XGBoost,0.4692834,0.9260375557383776,0.6814754009246826,13.108458757400513
SVR (RBF),0.43219072,0.9578521944318281,0.7235195636749268,0.32811570167541504
SVR (Linear),0.25993967,1.0935303058689416,0.8502757549285889,0.9332077503204346
k-Nearest Neighbors,0.3622123,1.0151619075495957,0.7733463048934937,0.048705101013183594
MLP Regressor,0.44051194,0.9508076309142619,0.7360263466835022,11.812100172042847
AdaBoost,0.2217414785878692,1.1213965037176432,0.9306534527776613,1.2096796035766602
Random Forest,0.5043384,0.8949317202282513,0.6785744428634644,29.08634114265442
