model,r2,rmse,mae,time_s
Lasso Regression,0.01187408,1.2635819227698861,1.056405782699585,0.1258859634399414
ElasticNet,0.1378504,1.1802895632760657,0.9790063500404358,0.21712255477905273
Decision Tree,0.7466819723034386,0.6397794767788124,0.3983052555761944,0.2580869197845459
Bayesian Ridge,0.3170479,1.050491122782482,0.8423379063606262,0.12090873718261719
PLS Regression,0.3187304485897203,1.0491962868800957,0.8388436051421382,0.1267843246459961
Ridge Regression,0.32063925,1.0477254459250083,0.8379265069961548,0.058322906494140625
Gradient Boosting,0.4397020839979616,0.9514955444912525,0.7594219472905887,2.8285574913024902
XGBoost,0.74142665,0.6463818425583752,0.4199640154838562,13.108458757400513
SVR (RBF),0.51328385,0.8868192708179529,0.6457586288452148,0.32811570167541504
SVR (Linear),0.29395533,1.0681034876586213,0.82286536693573,0.9332077503204346
k-Nearest Neighbors,0.47678775,0.9194671414049458,0.6914699077606201,0.048705101013183594
MLP Regressor,0.64678633,0.7554678284758792,0.5671370625495911,11.812100172042847
AdaBoost,0.24403532125992589,1.1052181479936347,0.9160829666339857,1.2096796035766602
Random Forest,0.70562005,0.6896859011093571,0.5061982274055481,29.08634114265442
