model,r2,rmse,mae,time_s
Lasso Regression,0.055386305,1.24232621288144,1.033229112625122,0.19125819206237793
ElasticNet,0.14122379,1.184536699917283,0.9832746982574463,0.3182976245880127
Decision Tree,0.3925108744568081,0.9962716792427653,0.7318969101827373,0.2683124542236328
Bayesian Ridge,0.28527892,1.0806295080846562,0.8675284385681152,0.13394808769226074
PLS Regression,0.28095211505363016,1.0838955603233744,0.8671367812433997,0.15402626991271973
Ridge Regression,0.28251362,1.082718008082691,0.8657772541046143,0.06815814971923828
Gradient Boosting,0.37513208484423677,1.010421651230511,0.8120528671556444,2.7376179695129395
XGBoost,0.43687576,0.959203225081783,0.7119271159172058,12.068544626235962
SVR (RBF),0.41038406,0.9815064368500879,0.7542332410812378,0.2944307327270508
SVR (Linear),0.2623613,1.0978180572603657,0.8618975281715393,0.8143315315246582
k-Nearest Neighbors,0.34351134,1.0356717535503175,0.7914753556251526,0.03212332725524902
MLP Regressor,0.43236506,0.9630372591545129,0.7431409955024719,11.677956581115723
AdaBoost,0.2235332872526069,1.126341152348396,0.933618926874762,0.7596259117126465
Random Forest,0.47634894,0.9249739849453187,0.706561803817749,29.402227878570557
