model,r2,rmse,mae,time_s
Lasso Regression,0.06073314,1.2388052328135328,1.030987024307251,0.19125819206237793
ElasticNet,0.14713019,1.180456302559524,0.9801715612411499,0.3182976245880127
Decision Tree,0.6930656950173546,0.7081597618427261,0.4627366014850335,0.2683124542236328
Bayesian Ridge,0.3150447,1.0578878942129983,0.8484785556793213,0.13394808769226074
PLS Regression,0.31676351101303624,1.056559737565823,0.8448247299739698,0.15402626991271973
Ridge Regression,0.31843066,1.055269942347563,0.8437100052833557,0.06815814971923828
Gradient Boosting,0.4294900234243235,0.9654730433989458,0.7742841817906682,2.7376179695129395
XGBoost,0.68957335,0.7121771599695627,0.4764935374259949,12.068544626235962
SVR (RBF),0.4880895,0.9145459909715877,0.6768888831138611,0.2944307327270508
SVR (Linear),0.2972119,1.0715704437967095,0.8308597207069397,0.8143315315246582
k-Nearest Neighbors,0.4852335,0.9170936471468025,0.6866592168807983,0.03212332725524902
MLP Regressor,0.5286536,0.8775636378739289,0.679509699344635,11.677956581115723
AdaBoost,0.21867652185656572,1.1298582684420184,0.9472404167824425,0.7596259117126465
Random Forest,0.6577829,0.7477551481553738,0.5513322353363037,29.402227878570557
