model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.5663322185061316,0.5297856076027969,0.5342900390158505,0.3346156903201876,0.14409899711608887
Logistic Regression (L1),0.5689334819769603,0.5336030712070204,0.5422950619230774,0.33773088704267407,6.637727975845337
Logistic Regression (ElasticNet),0.5663322185061316,0.5320223351981441,0.5408539139379761,0.33396118318527807,3.4030656814575195
SVC (RBF),0.6072092159048681,0.5722966242122141,0.5843341243878577,0.3975328427780162,2.1673169136047363
SVC (Linear),0.5663322185061316,0.5284815648633137,0.5347126690073537,0.33320799456904554,1.4583780765533447
Decision Tree,0.6302489780750651,0.6073835417579551,0.6240601768759609,0.43495021118556426,0.18245291709899902
Random Forest,0.651802303976217,0.626073368811113,0.6419195231227115,0.46817367552092154,3.210347890853882
k-Nearest Neighbors,0.6060943887030844,0.581413992765209,0.5944577262855534,0.3990625633255903,3.8554718494415283
Gradient Boosting,0.6016350798959494,0.5649713546357509,0.5757462174124967,0.3888103571771011,3.213432788848877
AdaBoost,0.5629877369007804,0.523558378554391,0.5287048685147406,0.3282330197823828,3.3338849544525146
MLP Classifier,0.6127833519137867,0.5826742118284313,0.5973211529716704,0.40665060931574504,1.4147751331329346
Gaussian Naive Bayes,0.443701226309922,0.3952375808720138,0.39112585692771007,0.12581342619382269,0.13750600814819336
Linear Discriminant Analysis,0.5626161278335191,0.5320801230517409,0.5431819053938486,0.3291300073304133,0.250197172164917
XGBoost,0.651802303976217,0.6272027875423588,0.6427888699822912,0.4682484384147086,61.47467803955078
