model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6120401337792643,0.5756296770478082,0.5821106479302581,0.40797774910855583,0.14409899711608887
Logistic Regression (L1),0.6168710516536603,0.5816707636412378,0.5908442692722445,0.4143262854198396,6.637727975845337
Logistic Regression (ElasticNet),0.6187290969899666,0.5843786682706651,0.5940970760910979,0.4174012906482436,3.4030656814575195
SVC (RBF),0.6967670011148273,0.6665929777096113,0.6812690105543633,0.5388786645454331,2.1673169136047363
SVC (Linear),0.6179858788554441,0.5821065257639062,0.5893528338774677,0.4175688103823444,1.4583780765533447
Decision Tree,0.8309178743961353,0.8139156874984748,0.8274225388448663,0.7431210641694889,0.18245291709899902
Random Forest,0.8309178743961353,0.815366153180035,0.8278059425128027,0.7435383045890396,3.210347890853882
k-Nearest Neighbors,0.6993682645856559,0.6776776609253053,0.6912097907414358,0.5429245967941402,3.8554718494415283
Gradient Boosting,0.6878483835005574,0.6558540984437441,0.6701300365005299,0.5249871158875056,3.213432788848877
AdaBoost,0.5849126718691936,0.5458080378009037,0.5512577472602675,0.36348852461981224,3.3338849544525146
MLP Classifier,0.6785581568190264,0.6446115412943726,0.658492641745891,0.510715450867994,1.4147751331329346
Gaussian Naive Bayes,0.4585655890003716,0.41224168377492804,0.4112969849060427,0.15358352703364267,0.13750600814819336
Linear Discriminant Analysis,0.610182088442958,0.5783782233982441,0.5904547135882721,0.4028165631782397,0.250197172164917
XGBoost,0.8301746562616128,0.8143267600767695,0.8267745696885408,0.7428295403457573,61.47467803955078
