model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6622073578595318,0.6439634911050051,0.6589799228383806,0.48650333478941193,0.44342899322509766
Logistic Regression (L1),0.6874767744332961,0.6683448271685832,0.6844143846787262,0.5244064982420945,91.40651512145996
Logistic Regression (ElasticNet),0.6945373467112598,0.6751811809368031,0.691211102372562,0.5350083338181295,110.15316104888916
SVC (RBF),0.6659234485321441,0.6320147692370693,0.6435676016858064,0.4921845956947454,10.767092943191528
SVC (Linear),0.6852471200297288,0.6649967491826875,0.6819884911876009,0.5197738202736012,7.033459186553955
Decision Tree,0.6692679301374953,0.6540405506604261,0.6695293919756832,0.49792771816367526,0.6215741634368896
Random Forest,0.7276105536975103,0.7058375389781327,0.7211878974084565,0.5848150663785385,6.023526906967163
k-Nearest Neighbors,0.6525455221107395,0.6299313450079368,0.6454808785784846,0.4691168119993662,6.988554239273071
Gradient Boosting,0.6774433296172426,0.64735353775085,0.6613699243141141,0.5082801398171276,32.25271797180176
AdaBoost,0.6205871423262728,0.5934447988640216,0.6085093001414306,0.4199293877205395,23.023547172546387
MLP Classifier,0.696395392047566,0.674153836284937,0.6895415645087783,0.5370651516641326,4.085736989974976
Gaussian Naive Bayes,0.5510962467484206,0.5324708685058399,0.5479258681621066,0.31839583706325597,0.1911458969116211
Linear Discriminant Analysis,0.6544035674470458,0.6397036441744368,0.6543750334836533,0.4767756309494675,7.706664800643921
XGBoost,0.7250092902266815,0.7052497262275382,0.721375063595611,0.5807699951158891,461.07962703704834
