model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.761055369751022,0.7405582001760225,0.7550770889027201,0.6362789985441235,0.26061105728149414
Logistic Regression (L1),0.7376439985135638,0.715642935490211,0.7303811614595409,0.6000865698820561,55.52551078796387
Logistic Regression (ElasticNet),0.7495354886659235,0.7292265444250042,0.7436097405400913,0.618206546199833,58.294305086135864
SVC (RBF),0.6937941285767373,0.6622485988902796,0.6778390950439407,0.5345867738610712,7.750673055648804
SVC (Linear),0.7800074321813453,0.7603714887080425,0.7739681935201832,0.6670764928650225,5.466271162033081
Decision Tree,0.8773690078037905,0.8656710367227664,0.8758982755580744,0.8149308400307451,0.3306691646575928
Random Forest,0.8773690078037905,0.8672408517447027,0.8762936711809779,0.8157086090707861,5.106326103210449
k-Nearest Neighbors,0.738015607580825,0.7209041144439102,0.7338901116591392,0.6025669847306313,6.056577920913696
Gradient Boosting,0.7146042363433668,0.683644209590578,0.7002944095227417,0.5669636154196463,15.702818870544434
AdaBoost,0.6034931252322556,0.560586663661945,0.5660811651745072,0.3936735925980259,11.986346006393433
MLP Classifier,0.771832032701598,0.7566931628909269,0.7704087853482792,0.6534917019416745,2.5808849334716797
Gaussian Naive Bayes,0.5131921218877741,0.4980721909210464,0.4922416415743743,0.28551824200084125,0.1711108684539795
Linear Discriminant Analysis,0.7733184689706429,0.7618292308717685,0.7728674485384334,0.6556697019827654,2.6617698669433594
XGBoost,0.8773690078037905,0.8673983296203519,0.8763910554160196,0.8156967635603899,341.7939851284027
