model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6503158677071721,0.6346699133480155,0.6476020417581495,0.4691579756568315,0.4466109275817871
Logistic Regression (L1),0.673355629877369,0.6535266822327687,0.6686812181598656,0.5025566372640528,93.07914590835571
Logistic Regression (ElasticNet),0.674842066146414,0.6559375703231866,0.6707868139270023,0.5053163936525795,112.97025609016418
SVC (RBF),0.6666666666666666,0.6330221250040776,0.6443255920517573,0.49345015087638106,11.232059717178345
SVC (Linear),0.6830174656261613,0.6655547082162259,0.6797329699361867,0.5168908078983594,7.358227014541626
Decision Tree,0.6726124117428465,0.6565153842949504,0.6710245318301806,0.5025805723832429,0.6034250259399414
Random Forest,0.7253808992939428,0.7036520445241998,0.7195739028640997,0.5814109393563826,6.276592969894409
k-Nearest Neighbors,0.6480862133036046,0.625897421718514,0.6419302820508964,0.4625285730149614,7.432102203369141
Gradient Boosting,0.6666666666666666,0.6348245475077502,0.6484362373846881,0.4917523727383922,34.02140212059021
AdaBoost,0.6068376068376068,0.5770007711587083,0.5913166472075018,0.39792230113782595,24.300785064697266
MLP Classifier,0.7064288368636195,0.6829884194058783,0.698163931105766,0.5530618191852116,3.3168411254882812
Gaussian Naive Bayes,0.5470085470085471,0.5284472070702884,0.5433147060154947,0.31306605324343223,0.1941208839416504
Linear Discriminant Analysis,0.6358231140839836,0.6251465708615594,0.6361561736731156,0.44941658294555553,10.999215126037598
XGBoost,0.7264957264957265,0.7086817386423981,0.7232531137093422,0.5837767499149736,468.7853307723999
