model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.5384615384615384,0.4960407900220945,0.49029999324231177,0.2894978897766432,0.019554853439331055
Logistic Regression (L1),0.5340022296544036,0.49312523053034524,0.4914361757546566,0.28123891970096837,0.12932109832763672
Logistic Regression (ElasticNet),0.5347454477889261,0.4942248620360286,0.4926078804019243,0.2825967582794074,0.2152559757232666
SVC (RBF),0.5975473801560758,0.5626666399698501,0.5759118521532,0.381452932547528,1.4359748363494873
SVC (Linear),0.5395763656633222,0.5051118891682315,0.5053994729699253,0.2956532201143909,0.7482638359069824
Decision Tree,0.5916016350798959,0.5631950748528666,0.5791043211157513,0.3728222362473672,0.0333559513092041
Random Forest,0.6034931252322556,0.5759813669403006,0.5912794654823864,0.3922209719236601,2.618701934814453
k-Nearest Neighbors,0.5785953177257525,0.5551251169281827,0.5648455092880862,0.3605931910476529,0.13161301612854004
Gradient Boosting,0.5663322185061316,0.5332268835354769,0.5429752074764334,0.3327000936158198,1.3270750045776367
AdaBoost,0.5343738387216648,0.49404110363837944,0.4945549893090803,0.2812562172163176,1.987931251525879
MLP Classifier,0.5774804905239688,0.5427138175926941,0.5516725601472194,0.3506277421695746,1.30814790725708
Gaussian Naive Bayes,0.4819769602378298,0.4540431744725888,0.4645071201465716,0.20083827363528037,0.01959705352783203
Linear Discriminant Analysis,0.5377183203270159,0.49891510647845666,0.5030108145164639,0.28654886678340125,0.06521415710449219
XGBoost,0.5990338164251208,0.5715463033599201,0.5862601808118241,0.3855081558238335,27.717495918273926
