model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.5458937198067633,0.5033156195368446,0.49804736289636264,0.30179182004612365,0.019554853439331055
Logistic Regression (L1),0.5488665923448532,0.5088645466935089,0.5082160918352222,0.3062165777259708,0.12932109832763672
Logistic Regression (ElasticNet),0.5503530286138982,0.5105692662107832,0.510419541276779,0.308623379076148,0.2152559757232666
SVC (RBF),0.6443701226309922,0.6114710812824745,0.6266735729772374,0.4561759608012985,1.4359748363494873
SVC (Linear),0.5536975102192494,0.521913171814972,0.5235562016464471,0.3201862327918442,0.7482638359069824
Decision Tree,0.7421033073206986,0.7165372287357611,0.7328135240649689,0.6081683633028798,0.0333559513092041
Random Forest,0.7421033073206986,0.7212516375361265,0.7351535680737832,0.6076874881734735,2.618701934814453
k-Nearest Neighbors,0.662578966926793,0.6435565939997899,0.6543758218397221,0.49134393711684654,0.13161301612854004
Gradient Boosting,0.6213303604607953,0.5902052157230558,0.6016715489342906,0.420854106198576,1.3270750045776367
AdaBoost,0.5421776291341509,0.5018577395719068,0.5022068138303319,0.29443042400546665,1.987931251525879
MLP Classifier,0.6830174656261613,0.6492140102195152,0.6648853328120095,0.5177919412896338,1.30814790725708
Gaussian Naive Bayes,0.5072463768115942,0.47953903806374365,0.4887971373965023,0.24199349212875407,0.01959705352783203
Linear Discriminant Analysis,0.5536975102192494,0.5168926072679613,0.5229334276233876,0.3125405305126386,0.06521415710449219
XGBoost,0.7417316982534374,0.720405930299623,0.7345312936270204,0.6069179850856325,27.717495918273926
