model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.5860274990709773,0.5491977510256352,0.5571675159080611,0.36477607433771336,2.5452070236206055
Logistic Regression (L1),0.5871423262727611,0.5555032868171563,0.5669565001083928,0.36663575238967155,3.666154146194458
Logistic Regression (ElasticNet),0.5863991081382386,0.5555822575115643,0.5672422649184098,0.3658048783259202,3.2201616764068604
SVC (RBF),0.6343366778149386,0.6032526459249209,0.6170818387681494,0.4400472477669191,2.814519166946411
SVC (Linear),0.6012634708286883,0.5695290786401681,0.5815635985113716,0.3883216806379562,1.5982258319854736
Decision Tree,0.651802303976217,0.6301346287772772,0.6473727263026428,0.4683344479029963,0.3413581848144531
Random Forest,0.6863619472315124,0.6622509164561131,0.6790069049357639,0.5203639693179176,4.064890146255493
k-Nearest Neighbors,0.6350798959494611,0.6122261712130678,0.6273256311617779,0.4422325162513661,3.7835230827331543
Gradient Boosting,0.6265328874024526,0.594138058450926,0.6082052201416814,0.427731182239104,4.057084321975708
AdaBoost,0.5826830174656261,0.548081107333996,0.5579160373908717,0.35979404487260996,4.074414014816284
MLP Classifier,0.6358231140839836,0.612651671481865,0.6289005016997665,0.44347386285087914,2.1216137409210205
Gaussian Naive Bayes,0.496098104793757,0.4837007869135304,0.49252002371366926,0.24392204471623172,0.18969178199768066
Linear Discriminant Analysis,0.5875139353400223,0.5605997692317307,0.5762757523327936,0.36756103381572774,2.0669760704040527
XGBoost,0.6833890746934225,0.6614964914404574,0.6784505484353096,0.5162095769862738,52.20919609069824
