model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6313638052768488,0.5964118584268049,0.6061824075013514,0.4373387252276711,2.5452070236206055
Logistic Regression (L1),0.633221850613155,0.6024428171129955,0.6148087690250532,0.43913270930382126,3.666154146194458
Logistic Regression (ElasticNet),0.63173541434411,0.6013790640318906,0.6132588411469274,0.4370107015806259,3.2201616764068604
SVC (RBF),0.7105165366034931,0.6837862662578976,0.6986813968718975,0.5589948338148779,2.814519166946411
SVC (Linear),0.6488294314381271,0.6186568170138018,0.6313287692945504,0.4634241116412292,1.5982258319854736
Decision Tree,0.8885172798216276,0.8766713836695988,0.8870962612441387,0.8305074711962714,0.3413581848144531
Random Forest,0.8885172798216276,0.8784207864343291,0.8873681947520757,0.8305592105691137,4.064890146255493
k-Nearest Neighbors,0.748792270531401,0.7310488266851265,0.7444576301057113,0.6168969144292092,3.7835230827331543
Gradient Boosting,0.6926793013749536,0.6641650774332376,0.679108595764879,0.5314788913518759,4.057084321975708
AdaBoost,0.6049795615013006,0.5743531049316988,0.5857080357441511,0.39567469671664507,4.074414014816284
MLP Classifier,0.7837235228539576,0.7664851204121058,0.7812944229636665,0.6699688392008346,2.1216137409210205
Gaussian Naive Bayes,0.5206243032329989,0.5110719525037499,0.5172059456193593,0.282604342342309,0.18969178199768066
Linear Discriminant Analysis,0.6324786324786325,0.6068648387241495,0.6222687522931468,0.4371627837741394,2.0669760704040527
XGBoost,0.8885172798216276,0.8778671320022785,0.8871675347768534,0.8307372784580853,52.20919609069824
