model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6202155332590115,0.5863602150039647,0.5989733908755991,0.41911890064060675,0.1621549129486084
Logistic Regression (L1),0.6235600148643627,0.5945141796309757,0.6086358618379563,0.4246689686817688,18.982184886932373
Logistic Regression (ElasticNet),0.6231884057971014,0.5938911524070956,0.6081282711150722,0.4239345635880112,10.652342081069946
SVC (RBF),0.6447417316982534,0.6076599093153932,0.6185333715045558,0.4585981191854833,3.2067441940307617
SVC (Linear),0.6358231140839836,0.6059353974968077,0.6201110020604241,0.44379614507647697,2.3254120349884033
Decision Tree,0.6629505759940543,0.6451382522167753,0.6610712386743978,0.4868160463821401,0.23242592811584473
Random Forest,0.7086584912671869,0.6851998599970526,0.7015243056993266,0.5558655290238365,4.219089984893799
k-Nearest Neighbors,0.6514306949089558,0.6308366266955654,0.6463995260093478,0.4683281753579221,4.251481056213379
Gradient Boosting,0.653288740245262,0.6195411827902391,0.6317452046822303,0.47226501715592084,6.901233911514282
AdaBoost,0.5916016350798959,0.5525540363746092,0.5573501819640682,0.37554659051518174,5.2752180099487305
MLP Classifier,0.6666666666666666,0.6370330740369369,0.6548875730224214,0.48999593861112756,1.6417820453643799
Gaussian Naive Bayes,0.4916387959866221,0.47904642571390504,0.4722829424270722,0.24601138221624716,0.15236520767211914
Linear Discriminant Analysis,0.6231884057971014,0.5998741842173084,0.6168771276591117,0.4248638751391882,1.3903298377990723
XGBoost,0.7045707915273133,0.6843898307470012,0.7008785610003087,0.5495971658595813,83.68319010734558
