model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.5622445187662579,0.5205148653375145,0.5208871180754443,0.3281371206779113,0.019800186157226562
Logistic Regression (L1),0.5626161278335191,0.52380396151386,0.5287804481231654,0.3277542402536392,5.904949903488159
Logistic Regression (ElasticNet),0.5603864734299517,0.5219826062800711,0.5276464397318534,0.324068515713411,6.032888174057007
SVC (RBF),0.5555555555555556,0.5142816838549491,0.504340896752178,0.32182268305788736,2.2719337940216064
SVC (Linear),0.5659606094388703,0.5274291962823153,0.5334732247896663,0.33274283265551624,4.394351005554199
Decision Tree,0.6566332218506131,0.6386351229786774,0.6557036103644186,0.4771981676130895,0.05757904052734375
Random Forest,0.705685618729097,0.6823059468592813,0.6987161816852161,0.550531691881231,3.0443949699401855
k-Nearest Neighbors,0.6469713861018209,0.6272911557012191,0.6430714539641046,0.4611596293941063,3.483678102493286
Gradient Boosting,0.6213303604607953,0.5824396163473958,0.5940891314354643,0.42001558525319327,2.5113070011138916
AdaBoost,0.5574136008918618,0.5173194354393441,0.5182553808505941,0.3203297449596437,2.715512752532959
MLP Classifier,0.6168710516536603,0.5799865630134818,0.5918754121891633,0.4129904689973769,1.487790822982788
Gaussian Naive Bayes,0.43478260869565216,0.4408866018564634,0.41139097140665615,0.1800269687994697,0.020399093627929688
Linear Discriminant Analysis,0.5574136008918618,0.5242683169061376,0.5369557659367262,0.31899380483149004,0.24435806274414062
XGBoost,0.6956521739130435,0.6762518182966252,0.6918250288182971,0.5354860107779774,35.77742385864258
