model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.5503530286138982,0.5122855041747966,0.5145584346257213,0.30953518813501196,0.031617164611816406
Logistic Regression (L1),0.5473801560758083,0.5089302123436498,0.5108377385165064,0.30441928838755294,0.5476100444793701
Logistic Regression (ElasticNet),0.5470085470085471,0.5093222182451957,0.5135248299638949,0.3034159538679042,0.7068910598754883
SVC (RBF),0.5979189892233371,0.5589648898740319,0.5617774603014514,0.38644777178660306,2.030618190765381
SVC (Linear),0.5432924563359346,0.5065724779388066,0.5123604861338918,0.2972371203212877,0.911513090133667
Decision Tree,0.6079524340393906,0.5815790140526438,0.5976648733424108,0.3995530495806672,0.054429054260253906
Random Forest,0.6321070234113713,0.6060042402839768,0.6199274931843465,0.438182258554704,2.796355962753296
k-Nearest Neighbors,0.5878855444072836,0.5643784451676124,0.5793007893964541,0.3697672115421032,3.2851409912109375
Gradient Boosting,0.5956893348197696,0.5607483796475883,0.5692847590548976,0.38109640142263124,1.7078900337219238
AdaBoost,0.5284280936454849,0.4884130101674051,0.4819516534471982,0.2746875953185454,2.273181915283203
MLP Classifier,0.611668524712003,0.5796757114255447,0.592154350498939,0.40548337539575036,1.362476110458374
Gaussian Naive Bayes,0.44555927164622816,0.4341956187301581,0.4052870777428542,0.19338059433320728,0.030160903930664062
Linear Discriminant Analysis,0.5392047565960609,0.5097093230490998,0.5238175440651867,0.29169280320260893,0.3051910400390625
XGBoost,0.6339650687476774,0.6074793955099107,0.6219779083542035,0.4410071791115626,32.75927019119263
