model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.568561872909699,0.5299067435407012,0.5320811167489705,0.33910617734896753,0.031617164611816406
Logistic Regression (L1),0.5767372723894463,0.5388729875284585,0.542236452646507,0.3520310527797368,0.5476100444793701
Logistic Regression (ElasticNet),0.5752508361204013,0.5373257458868334,0.5404664811600791,0.3496670941533147,0.7068910598754883
SVC (RBF),0.6428836863619473,0.606044422346398,0.6133430112217741,0.45892602770063107,2.030618190765381
SVC (Linear),0.5667038275733928,0.5319491213179935,0.5412778819980038,0.3346671849356704,0.911513090133667
Decision Tree,0.7729468599033816,0.7503303027589757,0.7655884450312179,0.6553612282255608,0.054429054260253906
Random Forest,0.7729468599033816,0.7539965136331981,0.7672667227455497,0.6559987721281794,2.796355962753296
k-Nearest Neighbors,0.6893348197696024,0.6701299744112593,0.6834543254049716,0.5262625479642535,3.2851409912109375
Gradient Boosting,0.6480862133036046,0.6167267038600425,0.6277198567969146,0.46459458177856955,1.7078900337219238
AdaBoost,0.5336306205871423,0.4909125333463032,0.47977252627687667,0.28333188444591306,2.273181915283203
MLP Classifier,0.6923076923076923,0.6668673591950398,0.679322549518786,0.5347216214520261,1.362476110458374
Gaussian Naive Bayes,0.46859903381642515,0.45416578767802845,0.4267843929155733,0.2327505225172249,0.030160903930664062
Linear Discriminant Analysis,0.5652173913043478,0.5350869599461139,0.5494501041421423,0.33177535233897676,0.3051910400390625
XGBoost,0.7696023782980305,0.7489871427846162,0.7623716985427059,0.6521633304637469,32.75927019119263
