model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6436269044964698,0.6063555370093755,0.6158450476902069,0.45778238185625186,0.16324305534362793
Logistic Regression (L1),0.6142697881828316,0.5799264585576963,0.5895290385746769,0.40980578560129366,17.366223096847534
Logistic Regression (ElasticNet),0.6124117428465254,0.577218553928269,0.5863737900432474,0.40685939561185186,18.443467140197754
SVC (RBF),0.5893719806763285,0.5432980561845876,0.5395568953546306,0.37393708538306464,2.5416860580444336
SVC (Linear),0.6688963210702341,0.6384483252452117,0.6511961289079425,0.4957843552931216,16.773759841918945
Decision Tree,0.926049795615013,0.9190338611728764,0.9256600635684469,0.887447403607329,0.23780107498168945
Random Forest,0.926049795615013,0.9195505145341135,0.925751870327631,0.8879326089876579,3.6460957527160645
k-Nearest Neighbors,0.7588257153474545,0.7410658482762559,0.7557313582453946,0.6320801872888014,3.717745780944824
Gradient Boosting,0.7432181345224823,0.7142958669723919,0.7311571580198621,0.6106630151970478,5.6857171058654785
AdaBoost,0.6306205871423263,0.5966140147316857,0.6115189735585147,0.4339050551582022,4.8555357456207275
MLP Classifier,0.6570048309178744,0.6100617959993868,0.6113416228021037,0.4854891906165578,1.5271821022033691
Gaussian Naive Bayes,0.4890375325157934,0.4403823660225985,0.440520263737608,0.2117114531589933,0.1461198329925537
Linear Discriminant Analysis,0.6480862133036046,0.6173173593629068,0.6314839725808588,0.46150800551605137,0.9094069004058838
XGBoost,0.926049795615013,0.9199958745593605,0.9258556826111767,0.8880036835043399,94.7393639087677
