model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.8777406168710516,0.8660824388675953,0.8759761951394095,0.8147513659210899,0.4062211513519287
Logistic Regression (L1),0.8784838350055741,0.8678280005440046,0.8770514063779535,0.8157168294635,89.36453819274902
Logistic Regression (ElasticNet),0.8940914158305463,0.8853178421181336,0.8931564573313738,0.8393774795658024,105.49701404571533
SVC (RBF),0.7532515793385358,0.7263955206765976,0.7412462592685672,0.6285067363843296,10.85211706161499
SVC (Linear),0.9256781865477518,0.9190689465177538,0.9251449167397173,0.8873185186087654,7.0406482219696045
Decision Tree,0.9479747305834262,0.9430378869186758,0.9477882767779642,0.9210099795875092,0.607252836227417
Random Forest,0.9479747305834262,0.943255603196743,0.9478197451955633,0.9214019600418294,6.02840781211853
k-Nearest Neighbors,0.7684875510962468,0.7539906855092228,0.7663465583045991,0.6471113100403277,6.830163955688477
Gradient Boosting,0.7800074321813453,0.756027310326837,0.7711655701795774,0.667556863055092,32.28789281845093
AdaBoost,0.674842066146414,0.6521630650421604,0.667015725131187,0.5039833688808043,23.17603611946106
MLP Classifier,0.8985507246376812,0.8888080384446185,0.8974557529088923,0.845790460559674,4.151726961135864
Gaussian Naive Bayes,0.5704199182460052,0.552791671191461,0.5679872513646558,0.3480750667383069,0.19702410697937012
Linear Discriminant Analysis,0.8799702712746191,0.8718617233953011,0.8795899389479152,0.8177770509631134,6.858736038208008
XGBoost,0.9479747305834262,0.9429677210471453,0.9477847223958555,0.9213292770908172,417.4819941520691
