model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.761055369751022,0.7405582001760225,0.7550770889027201,0.6362789985441235,0.2770578861236572
Logistic Regression (L1),0.7376439985135638,0.715642935490211,0.7303811614595409,0.6000865698820561,55.53438997268677
Logistic Regression (ElasticNet),0.7495354886659235,0.7292265444250042,0.7436097405400913,0.618206546199833,58.02961206436157
SVC (RBF),0.6937941285767373,0.6622485988902796,0.6778390950439407,0.5345867738610712,7.822386026382446
SVC (Linear),0.7800074321813453,0.7603714887080425,0.7739681935201832,0.6670764928650225,5.545469045639038
Decision Tree,0.8773690078037905,0.8656710367227664,0.8758982755580744,0.8149308400307451,0.3205249309539795
Random Forest,0.8773690078037905,0.8672408517447027,0.8762936711809779,0.8157086090707861,5.102521657943726
k-Nearest Neighbors,0.738015607580825,0.7209041144439102,0.7338901116591392,0.6025669847306313,5.701067924499512
Gradient Boosting,0.7146042363433668,0.683644209590578,0.7002944095227417,0.5669636154196463,15.594877004623413
AdaBoost,0.6034931252322556,0.560586663661945,0.5660811651745072,0.3936735925980259,12.004584312438965
MLP Classifier,0.771832032701598,0.7566931628909269,0.7704087853482792,0.6534917019416745,2.518239974975586
Gaussian Naive Bayes,0.5131921218877741,0.4980721909210464,0.4922416415743743,0.28551824200084125,0.16953492164611816
Linear Discriminant Analysis,0.7733184689706429,0.7618292308717685,0.7728674485384334,0.6556697019827654,3.657559871673584
XGBoost,0.8773690078037905,0.8673983296203519,0.8763910554160196,0.8156967635603899,244.70862793922424
